# pmt_id easting_cm northing_cm
931 8261.50 -10819.26
932 8664.50 -10819.26
933 9067.50 -10819.26
934 9470.50 -10819.26
935 9873.50 -10819.26
936 10276.50 -10819.26
937 10679.50 -10819.26
938 11082.50 -10819.26
939 11485.50 -10819.26
940 -12090.00 -10470.25
941 -11687.00 -10470.25
942 -11284.00 -10470.25
943 -10881.00 -10470.25
944 -10478.00 -10470.25
945 -10075.00 -10470.25
946 -9672.00 -10470.25
947 -9269.00 -10470.25
948 -8866.00 -10470.25
949 -8463.00 -10470.25
950 -8060.00 -10470.25
951 -7657.00 -10470.25
952 -7254.00 -10470.25
953 -6851.00 -10470.25
954 -6448.00 -10470.25
955 -6045.00 -10470.25
956 -5642.00 -10470.25
957 -5239.00 -10470.25
958 -4836.00 -10470.25
959 -4433.00 -10470.25
960 -4030.00 -10470.25
961 -3627.00 -10470.25
962 -3224.00 -10470.25
963 -2821.00 -10470.25
964 -2418.00 -10470.25
965 -2015.00 -10470.25
966 -1612.00 -10470.25
967 -1209.00 -10470.25
968 -806.00 -10470.25
969 -403.00 -10470.25
970 0.00 -10470.25
971 403.00 -10470.25
972 806.00 -10470.25
973 1209.00 -10470.25
974 1612.00 -10470.25
975 2015.00 -10470.25
976 2418.00 -10470.25
977 2821.00 -10470.25
978 3224.00 -10470.25
979 3627.00 -10470.25
980 4030.00 -10470.25
981 4433.00 -10470.25
982 4836.00 -10470.25
983 5239.00 -10470.25
984 5642.00 -10470.25
985 6045.00 -10470.25
986 6448.00 -10470.25
987 6851.00 -10470.25
988 7254.00 -10470.25
989 7657.00 -10470.25
990 8060.00 -10470.25
991 8463.00 -10470.25
992 8866.00 -10470.25
993 9269.00 -10470.25
994 9672.00 -10470.25
995 10075.00 -10470.25
996 10478.00 -10470.25
997 10881.00 -10470.25
998 11284.00 -10470.25
999 11687.00 -10470.25
1000 12090.00 -10470.25
1001 -12291.50 -10121.24
1002 -11888.50 -10121.24
1003 -11485.50 -10121.24
1004 -11082.50 -10121.24
1005 -10679.50 -10121.24
1006 -10276.50 -10121.24
1007 -9873.50 -10121.24
1008 -9470.50 -10121.24
1009 -9067.50 -10121.24
1010 -8664.50 -10121.24
1011 -8261.50 -10121.24
1012 -7858.50 -10121.24
1013 -7455.50 -10121.24
1014 -7052.50 -10121.24
1015 -6649.50 -10121.24
1016 -6246.50 -10121.24
1017 -5843.50 -10121.24
1018 -5440.50 -10121.24
1019 -5037.50 -10121.24
1020 -4634.50 -10121.24
1021 -4231.50 -10121.24
1022 -3828.50 -10121.24
1023 -3425.50 -10121.24
1024 -3022.50 -10121.24
1025 -2619.50 -10121.24
1026 -2216.50 -10121.24
1027 -1813.50 -10121.24
1028 -1410.50 -10121.24
1029 -1007.50 -10121.24
1030 -604.50 -10121.24
1031 -201.50 -10121.24
1032 201.50 -10121.24
